Date,Summary,Precip Type,Temperature (C),Humidity,Wind Speed (km/h)
2006-04-01 00:00:00.000 +0200,Partly Cloudy,rain,9.57,0.87,13.82
2006-04-01 01:00:00.000 +0200,Partly Cloudy,rain,9.46,0.84,13.96
2006-04-01 02:00:00.000 +0200,Mostly Cloudy,rain,9.48,0.87,3.63
2006-04-01 03:00:00.000 +0200,Partly Cloudy,rain,8.39,0.81,13.8
2006-04-01 04:00:00.000 +0200,Mostly Cloudy,rain,8.86,0.81,10.74
2006-04-01 05:00:00.000 +0200,Partly Cloudy,rain,9.32,0.83,13.66
2006-04-01 06:00:00.000 +0200,Partly Cloudy,rain,7.83,0.93,12.06
2006-04-01 07:00:00.000 +0200,Partly Cloudy,rain,8.87,0.87,13.85
2006-04-01 08:00:00.000 +0200,Partly Cloudy,rain,10.92,0.8,11.02
2006-04-01 09:00:00.000 +0200,Partly Cloudy,rain,13.87,0.7,12.23
2006-04-01 10:00:00.000 +0200,Partly Cloudy,rain,16.12,0.65,17.27
2006-04-01 11:00:00.000 +0200,Partly Cloudy,rain,17.24,0.52,19.49
2006-04-01 12:00:00.000 +0200,Partly Cloudy,rain,17.9,0.53,21.64
2006-04-01 13:00:00.000 +0200,Partly Cloudy,rain,17.43,0.49,20.39
2006-04-01 14:00:00.000 +0200,Partly Cloudy,rain,18.98,0.45,15.08
2006-04-01 15:00:00.000 +0200,Partly Cloudy,rain,19.01,0.44,10.1
2006-04-01 16:00:00.000 +0200,Partly Cloudy,rain,15.49,0.58,14.11
2006-04-01 17:00:00.000 +0200,Mostly Cloudy,rain,15.65,0.61,10.86
2006-04-01 18:00:00.000 +0200,Mostly Cloudy,rain,14.36,0.67,8.22
2006-04-01 19:00:00.000 +0200,Mostly Cloudy,rain,13.24,0.68,7.33
2006-04-01 20:00:00.000 +0200,Mostly Cloudy,rain,11.65,0.75,7.09
2006-04-01 21:00:00.000 +0200,Mostly Cloudy,rain,11.28,0.74,4.63
2006-04-01 22:00:00.000 +0200,Partly Cloudy,rain,10.22,0.77,6.35
2006-04-01 23:00:00.000 +0200,Mostly Cloudy,rain,10.3,0.75,3.63
2006-04-10 00:00:00.000 +0200,Partly Cloudy,rain,10.52,0.6,16.69
2006-04-10 01:00:00.000 +0200,Partly Cloudy,rain,10.01,0.64,16.91
2006-04-10 02:00:00.000 +0200,Mostly Cloudy,rain,11.28,0.78,10.52
2006-04-10 03:00:00.000 +0200,Partly Cloudy,rain,7.26,0.77,10.78
2006-04-10 04:00:00.000 +0200,Partly Cloudy,rain,6.21,0.8,6.35
2006-04-10 05:00:00.000 +0200,Partly Cloudy,rain,6.89,0.81,12.71
2006-04-10 06:00:00.000 +0200,Mostly Cloudy,rain,7.36,0.83,10.87
2006-04-10 07:00:00.000 +0200,Mostly Cloudy,rain,7.9,0.81,12.52
2006-04-10 08:00:00.000 +0200,Mostly Cloudy,rain,9.97,0.76,13.45
2006-04-10 09:00:00.000 +0200,Mostly Cloudy,rain,12.32,0.7,15.33
